Kraj;Rok;Udzial_kobiet_na_stanowiskach_kierowniczych_proc;Wskaznik_aktywnosci_zawodowej_kobiet_proc;Wskaznik_zatrudnienia_kobiet_proc;PKB_na_mieszkanca;Zatrudnienie_w_rolnictwie_proc;Zatrudnienie_w_przemysle_proc;Zatrudnienie_w_uslugach_proc;Mediana_wieku_sily_roboczej_u_kobiet;Kobiety_15_24;Kobiety_25_34;Kobiety_35_44;Kobiety_45_54;Kobiety_55_64
Lotwa;2004;43,57;28,17;25,84;25520,27;0,87;17,27;81,86;30,23;15,04;12,93;8,69;7,74;2,45
Lotwa;2005;43,31;29,63;27,15;26317,57;0,59;16,84;82,57;31,19;14,53;15,4;8,74;7,97;3,26
Lotwa;2006;40,21;29,97;27,48;26701,39;0,31;15,19;84,5;31,07;13,81;17,01;8,72;8,01;3,13
Lotwa;2007;42,47;31,9;29,38;27669,16;0,39;13,34;86,27;31,97;14,03;17,58;10,37;8,67;3,62
Lotwa;2008;42,54;32,92;30,69;28409,66;0,4;10,99;88,61;32,46;13,78;18,71;10,9;9,18;4
Lotwa;2009;44,28;33,39;30,84;27502,01;0,45;12,01;87,54;33,19;13,28;19,12;11,89;9,71;3,92
Lotwa;2010;42,07;34,08;31,65;28336,79;0,28;13,22;86,51;33,68;13,13;19,49;13,01;9,87;4,34
Lotwa;2011;45,54;35,46;32,93;28585,82;0,21;12,72;87,08;33,67;12,94;21,1;14,35;9,69;4,63
Lotwa;2012;45,81;37,46;34,72;29120,67;0,35;10,71;88,95;34,75;13,12;21,92;16,44;11,86;5,4
Lotwa;2013;43,79;39,26;36,81;30038,66;0,46;11,61;87,93;35,22;13,4;23,19;17,77;13,16;5,94
Lotwa;2014;44,1;40,69;38,52;32008,37;0,44;10,25;89,32;35,72;13,85;24,03;19,49;13,55;6,76
Lotwa;2015;44,32;41,61;39,45;34634,63;0,39;8,87;90,74;36,22;13;25,55;20,5;14;7,74
Lotwa;2016;47,25;42,4;40,19;35772,26;0,25;9,28;90,47;36,77;12,71;27,45;21,48;15,22;8,96
Lotwa;2017;46,26;43,33;41,31;37146,33;0,22;9,53;90,25;36,97;13,16;29,69;23,15;16,08;9,24
Lotwa;2018;44,87;43,29;41,31;38388,06;0,22;9,27;90,51;37,34;14,43;31,94;25,49;17,39;10,33
Luksemburg;2000;26,91;41,38;40,08;81689,82;1,49;6,38;92,13;36,85;7,31;25,27;22,34;14,57;3,66
Luksemburg;2001;30,15;41,14;40,25;82766,99;1,04;6,66;92,3;36,91;7,96;25,68;24,04;14,83;3,06
Luksemburg;2002;22,08;42,38;40,84;85032,71;1,01;6,57;92,42;37,21;7,69;26,19;24,8;15,48;3,93
Luksemburg;2003;28,82;42,53;40,52;85374,34;1,84;6,07;92,09;38,07;7,43;24,85;25,34;17,02;4,72
Luksemburg;2004;26,7;44,35;41,2;87209,82;1,48;6,54;91,97;38,51;6,56;25,34;27,07;19,04;5,11
Luksemburg;2005;23,77;45,37;42,72;88610,29;1,09;5,79;93,13;39;6,53;25,02;28,11;20,43;5,79
Luksemburg;2006;26,76;46,71;43,78;91724,18;1,2;5,19;93,61;39,04;6,56;25,25;28,74;22,2;7,03
Luksemburg;2007;21,17;46,89;44,68;97864,2;1,15;5,47;93,39;39,17;5,98;27,67;30,2;22,57;7,09
Luksemburg;2008;27,52;46,96;44,12;94900,35;1,17;6,14;92,69;39,46;7,25;26,34;28,38;23;7,17
Luksemburg;2009;19,09;48,77;45,78;89098,73;0,86;4,02;95,12;39,09;8,15;29,03;30,65;23,23;7,56
Luksemburg;2010;24,69;48,83;46,34;91743,29;0,74;4,78;94,47;39,87;6,45;28,8;31,04;25,69;8,26
Luksemburg;2011;24,02;49,41;46,32;92005,02;0,81;4,22;94,96;39,94;6,84;29,76;31,54;26,39;8,61
Luksemburg;2012;18;50,97;47,96;89505,16;0,89;3,93;95,17;40,16;7,43;31,7;32,55;28,35;9,85
Luksemburg;2013;14,86;51,11;47,85;90656,38;0,92;4,29;94,8;40,15;6,47;32,03;33,93;29,53;9,75
Luksemburg;2014;22,53;51,99;48,99;92349,19;0,84;4,24;94,92;40,1;6,74;33,29;34,96;29,79;10,72
